Player,Salary,Season
TJ McConnell,8700000,2023-24
Keegan Murray,8409000,2023-24
Delon Wright,8195122,2023-24
Onyeka Okongwu,8109063,2023-24
Scottie Barnes,8008680,2023-24
Jock Landale,8000000,2023-24
Jeff Green,8000000,2023-24
Moritz Wagner,8000000,2023-24
De'Anthony Melton,8000000,2023-24
Trey Lyles,8000000,2023-24
Ausar Thompson,7977420,2023-24
Miles Bridges,7921300,2023-24
Danilo Gallinari,7850062,2023-24
Vasilije Micic,7723000,2023-24
Paul Reed,7723000,2023-24
Zach Collins,7700000,2023-24
Jaden Ivey,7614480,2023-24
Cody Martin,7560000,2023-24
Patrick Mills,7537766,2023-24
Kevon Looney,7500000,2023-24
Killian Hayes,7413955,2023-24
Jalen Suggs,7252080,2023-24
Anthony Black,7245480,2023-24
Jae'Sean Tate,7000000,2023-24
Khem Birch,6985000,2023-24
Bennedict Mathurin,6916080,2023-24
Obi Toppin,6803012,2023-24
Caleb Martin,6802950,2023-24
Cedi Osman,6718842,2023-24
Bilal Coulibaly,6614256,2023-24
Josh Giddey,6587040,2023-24
Ayo Dosunmu,6481482,2023-24
Rudy Gay,6479000,2023-24
Sasha Vezenkov,6341464,2023-24
Shaedon Sharpe,6313800,2023-24
Otto Porter,6300000,2023-24
Deni Avdija,6263188,2023-24
Nassir Little,6250000,2023-24
Bismack Biyombo,6194075,2023-24
Jevon Carter,6190476,2023-24
Kenrich Williams,6175000,2023-24
Jarace Walker,6059460,2023-24
Jonathan Kuminga,6012840,2023-24
Devin Vassell,5887899,2023-24
Tyrese Haliburton,5808435,2023-24
Dyson Daniels,5784120,2023-24
Kira Lewis,5722116,2023-24
Dean Wade,5709877,2023-24
Aaron Nesmith,5634257,2023-24
Aleksej Pokusevski,5574809,2023-24
Taylor Hendricks,5569872,2023-24
Shake Milton,5552938,2023-24
JaVale McGee,5544772,2023-24
Cole Anthony,5539771,2023-24
Franz Wagner,5508720,2023-24
Furkan Korkmaz,5370370,2023-24
Josh Primo,5341600,2023-24
Jeremy Sochan,5316960,2023-24
Cason Wallace,5291352,2023-24
Isaiah Stewart,5266713,2023-24
Chuma Okeke,5266712,2023-24
Davion Mitchell,5063640,2023-24
Johnny Davis,5050800,2023-24
Jalen Smith,5043773,2023-24
Jett Howard,5026824,2023-24
Reggie Jackson,5000000,2023-24
Mason Plumlee,5000000,2023-24
Ziaire Williams,4810200,2023-24
Ousmane Dieng,4798440,2023-24
Taj Gibson,4776302,2023-24
Dereck Lively,4775628,2023-24
Josh Green,4765339,2023-24
Nickeil Alexander-Walker,4687500,2023-24
Jarred Vanderbilt,4640000,2023-24
James Bouknight,4570080,2023-24
Jalen Williams,4558680,2023-24
Saddiq Bey,4556983,2023-24
Gradey Dick,4536708,2023-24
Taurean Prince,4516000,2023-24
Jalen McDaniels,4516000,2023-24
Precious Achiuwa,4379526,2023-24
Tyrese Maxey,4343920,2023-24
Jalen Duren,4330680,2023-24
Danuel House,4310250,2023-24
Jordan Hawkins,4310196,2023-24
Mike Muscala,4308297,2023-24
Zeke Nnaji,4306281,2023-24
Immanuel Quickley,4171548,2023-24
Chris Duarte,4124400,2023-24
Ochai Agbaji,4114200,2023-24
Kobe Bufkin,4094244,2023-24
Payton Pritchard,4037277,2023-24
Seth Curry,4000000,2023-24
Dwight Powell,4000000,2023-24
Troy Brown,4000000,2023-24
Moses Moody,3918480,2023-24
Mark Williams,3908160,2023-24
Jaden McDaniels,3901399,2023-24
Keyonte George,3889776,2023-24
Malachi Flynn,3873024,2023-24
Desmond Bane,3845083,2023-24
James Johnson,3839412,2023-24
Russell Westbrook,3835738,2023-24
Kevin Love,3835738,2023-24
Ricky Rubio,3722327,2023-24
Corey Kispert,3722040,2023-24
AJ Griffin,3712920,2023-24
Jalen Hood-Schifino,3695076,2023-24
Amir Coffey,3666667,2023-24
Alperen Sengun,3536280,2023-24
Tari Eason,3527160,2023-24
Jaime Jaquez,3510540,2023-24
Andre Drummond,3360000,2023-24
Trey Murphy,3359280,2023-24
Brandin Podziemski,3352404,2023-24
Dalen Terry,3350760,2023-24
Keon Johnson,3342765,2023-24
Cameron Whitmore,3218160,2023-24
Jake LaRavia,3199920,2023-24
Kai Jones,3198778,2023-24
Wesley Matthews,3196448,2023-24
Ishmael Smith,3196448,2023-24
Tristan Thompson,3196448,2023-24
Markieff Morris,3196448,2023-24
Justin Holiday,3196448,2023-24
DeAndre Jordan,3196448,2023-24
Cory Joseph,3196448,2023-24
Derrick Rose,3196448,2023-24
Jae Crowder,3196448,2023-24
Patrick Beverley,3196448,2023-24
Cody Zeller,3196448,2023-24
Eric Gordon,3196448,2023-24
Alex Len,3196448,2023-24
Robin Lopez,3196448,2023-24
Garrett Temple,3196448,2023-24
Tre Mann,3191400,2023-24
Usman Garuba,3159790,2023-24
Noah Clowney,3089460,2023-24
Malaki Branham,3071880,2023-24
Simone Fontecchio,3044872,2023-24
Dante Exum,3000000,2023-24
Julian Champagnie,3000000,2023-24
Jordan Nwora,3000000,2023-24
Dariq Whitehead,2966040,2023-24
Christian Braun,2949120,2023-24
Jalen Johnson,2925360,2023-24
Boban Marjanovic,2891467,2023-24
Josh Richardson,2891467,2023-24
Kelly Oubre,2891467,2023-24
Kris Murray,2847504,2023-24
Andrew Nicholson,2844429,2023-24
Walker Kessler,2831160,2023-24
TyTy Washington,2830222,2023-24
Josh Okogie,2815937,2023-24
Omer Yurtseven,2800000,2023-24
Dewayne Dedmon,2748674,2023-24
Olivier-Maxence Prosper,2733720,2023-24
Josh Christopher,2732920,2023-24
David Roddy,2718240,2023-24
Derrick Jones,2709849,2023-24
Dario Saric,2709849,2023-24
Christian Wood,2709849,2023-24
Malik Beasley,2709849,2023-24
Chimezie Metu,2697258,2023-24
Isaiah Jackson,2696280,2023-24
Marcus Sasser,2624028,2023-24
MarJon Beauchamp,2609400,2023-24
Charles Bassey,2600000,2023-24
Damian Jones,2586665,2023-24
Kenneth Lofton,2586618,2023-24
Kris Dunn,2586484,2023-24
Bruno Fernando,2581522,2023-24
Jeremiah Robinson-Earl,2548843,2023-24
Ben Sheppard,2537172,2023-24
Dennis Smith,2528233,2023-24
Frank Ntilikina,2528233,2023-24
Torrey Craig,2528233,2023-24
Ryan Arcidiacono,2528233,2023-24
Thomas Bryant,2528233,2023-24
Damion Lee,2528233,2023-24
Blake Wesley,2504640,2023-24
Lamar Stevens,2492354,2023-24
Nick Smith,2463912,2023-24
Brice Sensabaugh,2448600,2023-24
Ty Jerome,2439025,2023-24
Julian Strawther,2431044,2023-24
Tristan Vukcevic,2424892,2023-24
Wendell Moore,2421720,2023-24
Jordan McLaughlin,2420000,2023-24
Kobe Brown,2413356,2023-24
Luke Kornet,2413304,2023-24
John Konchar,2400000,2023-24
Quentin Grimes,2385720,2023-24
Nikola Jovic,2352000,2023-24
Sviatoslav Mykhailiuk,2346614,2023-24
Lonnie Walker,2346614,2023-24
Keita Bates-Diop,2346614,2023-24
Aaron Holiday,2346614,2023-24
Yuta Watanabe,2346614,2023-24
Thanasis Antetokounmpo,2346614,2023-24
Mo Bamba,2346614,2023-24
Drew Eubanks,2346614,2023-24
Patrick Baldwin,2337720,2023-24
Harry Giles,2306554,2023-24
Bones Hyland,2306400,2023-24
Peyton Watson,2303520,2023-24
Cam Thomas,2240160,2023-24
Vlatko Cancar,2234359,2023-24
Vince Williams Jr,2232308,2023-24
Jaden Springer,2226240,2023-24
Day'Ron Sharpe,2210040,2023-24
Jordan Goodwin,2208045,2023-24
Santiago Aldama,2194200,2023-24
Oshae Brissett,2165000,2023-24
Cam Reddish,2165000,2023-24
Jaxson Hayes,2165000,2023-24
Bol Bol,2165000,2023-24
Moses Brown,2165000,2023-24
Kevin Knox,2144320,2023-24
Andrew Nembhard,2131905,2023-24
Goga Bitadze,2066585,2023-24
Luka Samanic,2066585,2023-24
Matt Ryan,2059782,2023-24
Trendon Watford,2019706,2023-24
Terry Taylor,2019706,2023-24
Montrezl Harrell,2019706,2023-24
Dalano Banton,2019706,2023-24
Colby Jones,2019706,2023-24
Sandro Mamukelashvili,2019706,2023-24
Garrison Mathews,2000000,2023-24
Jaylin Williams,2000000,2023-24
Caleb Houstan,2000000,2023-24
Sam Merrill,1997238,2023-24
Isaiah Joe,1997238,2023-24
Anthony Gill,1997238,2023-24
GG Jackson,1991428,2023-24
Duop Reath,1951220,2023-24
Xavier Tillman,1930681,2023-24
Naji Marshall,1930681,2023-24
KJ Martin,1930681,2023-24
Sam Hauser,1927896,2023-24
Jericho Sims,1927896,2023-24
Kessler Edwards,1927896,2023-24
Haywood Highsmith,1902137,2023-24
AJ Green,1901769,2023-24
Ryan Rollins,1893589,2023-24
JT Thor,1836096,2023-24
BJ Boston,1836096,2023-24
Isaiah Todd,1836096,2023-24
Jose Alvarado,1836096,2023-24
Miles McBride,1836096,2023-24
Aaron Wiggins,1836096,2023-24
Isaiah Livers,1836096,2023-24
Jared Butler,1809782,2023-24
Orlando Robinson,1801769,2023-24
Dru Smith,1801769,2023-24
EJ Liddell,1801769,2023-24
Leonard Miller,1800000,2023-24
Bryce McGowens,1719864,2023-24
Jaden Hardy,1719864,2023-24
Max Christie,1719864,2023-24
Kennedy Chandler,1719864,2023-24
Josh Minott,1719864,2023-24
Jabari Walker,1719864,2023-24
Christian Koloko,1719864,2023-24
Xavier Cooks,1719864,2023-24
Jalen Pickett,1708143,2023-24
Julian Phillips,1600000,2023-24
Craig Porter,1500000,2023-24
Eugene Omoruyi,1459782,2023-24
Ricky Council,1414135,2023-24
DaQuan Jeffries,1341538,2023-24
Eric Bledsoe,1300000,2023-24
Skylar Mays,1165280,2023-24
Mouhamed Gueye,1119563,2023-24
Jordan Walsh,1119563,2023-24
Hunter Tyson,1119563,2023-24
Trayce Jackson-Davis,1119563,2023-24
Maxwell Lewis,1119563,2023-24
Andre Jackson Jr,1119563,2023-24
Chris Livingston,1119563,2023-24
Rayan Rupert,1119563,2023-24
Toumani Camara,1119563,2023-24
Sidy Cissoko,1119563,2023-24
Dylan Windler,1116288,2023-24
Trent Forrest,1112933,2023-24
Lester Quinones,1108597,2023-24
Kendall Brown,1100000,2023-24
Stanley Umude,1098242,2023-24
Gui Santos,1029483,2023-24
Dominick Barlow,1015402,2023-24
AJ Lawson,1000000,2023-24
Ishmail Wainright,988269,2023-24
Neemias Queta,891035,2023-24
Jalen Wilson,850000,2023-24
Javon Freeman-Liberty,849324,2023-24
Lindy Waters III,766095,2023-24
Jacob Toppin,759245,2023-24
Mamadi Diakite,710574,2023-24
Jack White,703550,2023-24
Nik Stauskas,702311,2023-24
Jacob Gilyard,701336,2023-24
Luka Garza,687465,2023-24
Keon Ellis,683430,2023-24
RJ Hampton,680032,2023-24
TJ Warren,649659,2023-24
Darius Bazley,624425,2023-24
Juwan Morgan,576230,2023-24
Seth Lundy,559782,2023-24
JD Davison,559782,2023-24
Amari Bailey,559782,2023-24
Leaky Black,559782,2023-24
Adama Sanogo,559782,2023-24
Isaiah Mobley,559782,2023-24
Emoni Bates,559782,2023-24
Greg Brown,559782,2023-24
Collin Gillespie,559782,2023-24
Braxton Key,559782,2023-24
Jay Huff,559782,2023-24
Jared Rhoden,559782,2023-24
Malcolm Cazalon,559782,2023-24
Jerome Robinson,559782,2023-24
Jermaine Samuels,559782,2023-24
Nate Hinton,559782,2023-24
Nate Williams,559782,2023-24
Isaiah Wong,559782,2023-24
Oscar Tshiebwe,559782,2023-24
Moussa Diabate,559782,2023-24
Jordan Miller,559782,2023-24
Colin Castleton,559782,2023-24
Cole Swider,559782,2023-24
Jamal Cain,559782,2023-24
Jaylen Clark,559782,2023-24
Daishen Nix,559782,2023-24
Dereon Seabron,559782,2023-24
Charlie Brown,559782,2023-24
Keyontae Johnson,559782,2023-24
Olivier Sarr,559782,2023-24
Kevon Harris,559782,2023-24
Trevelin Queen,559782,2023-24
Admiral Schofield,559782,2023-24
Terquavion Smith,559782,2023-24
Saben Lee,559782,2023-24
Udoka Azubuike,559782,2023-24
Theo Maledon,559782,2023-24
Justin Minaya,559782,2023-24
Jalen Slawson,559782,2023-24
Jordan Ford,559782,2023-24
Filip Petrusev,559782,2023-24
Markquis Nowell,559782,2023-24
Johnny Juzang,559782,2023-24
Micah Potter,559782,2023-24
Malik Fitts,555217,2023-24
Marques Bolden,502131,2023-24
Onuralp Bitim,500000,2023-24
Xavier Moon,489005,2023-24
Isaiah Thomas,477630,2023-24
Ibou Badji,466485,2023-24
Juan Toscano-Anderson,447931,2023-24
Duane Washington Jr,443965,2023-24
Jules Bernard,415011,2023-24
Jontay Porter,411794,2023-24
Jaylen Nowell,398160,2023-24
Drew Peterson,395708,2023-24
Nathan Mensah,395708,2023-24
David Duke,395708,2023-24
Henri Drell,389274,2023-24
Alex Fudge,376405,2023-24
Vit Krejci,369971,2023-24
Brandon Williams,350668,2023-24
Trey Jemison,341017,2023-24
Jason Preston,315280,2023-24
Nerlens Noel,300000,2023-24
Tosan Evbuomwan,295977,2023-24
Scottie Pippen Jr,289542,2023-24
Malcolm Hill,286583,2023-24
Ashton Hagans,270841,2023-24
Jeff Dowtin,269237,2023-24
Didi Louzada,268032,2023-24
Javonte Green,261293,2023-24
Justin Champagnie,254412,2023-24
Jaylen Martin,249766,2023-24
Pete Nance,244503,2023-24
Lindell Wigginton,244502,2023-24
Armoni Brooks,241285,2023-24
D'Moi Hodge,241285,2023-24
Jahmi'us Ramsey,232150,2023-24
Charles Bediako,215548,2023-24
Dexter Dennis,212331,2023-24
Alondes Williams,212331,2023-24
Mason Jones,212331,2023-24
DeJon Jarreau,207100,2023-24
Zavier Simpson,207100,2023-24
Adam Flagler,205897,2023-24
DJ Carton,205897,2023-24
Danny Green,202074,2023-24
Mouhamadou Gueye,199463,2023-24
Ja'Vonte Smart,196245,2023-24
Miles Norris,193028,2023-24
Justin Lewis,173725,2023-24
Jamaree Bouyea,170801,2023-24
Pat Spencer,170508,2023-24
Buddy Boeheim,167291,2023-24
Sir'Jabari Rice,167291,2023-24
Justise Winslow,166176,2023-24
Nathan Knight,160857,2023-24
Andrew Funk,160857,2023-24
Ron Harper Jr,147988,2023-24
John Butler,147988,2023-24
Shaquille Harrison,145301,2023-24
Justin Jackson,145301,2023-24
Jaylin Galloway,141554,2023-24
RaiQuan Gray,141554,2023-24
Quenton Jackson,135120,2023-24
DJ Wilson,134863,2023-24
Hamidou Diallo,134863,2023-24
Matthew Hurt,128686,2023-24
Maozinha Pereira,128685,2023-24
Wenyen Gabriel,124425,2023-24
Kobi Simmons,120250,2023-24
Zhaire Smith,116075,2023-24
Sharife Cooper,103550,2023-24
Demetrius Jackson,92857,2023-24
Malik Williams,77212,2023-24
Omari Moore,75000,2023-24
Taze Moore,70687,2023-24
Timmy Allen,64343,2023-24
Jalen Crutcher,64343,2023-24
Izaiah Brockington,64343,2023-24
Taevion Kinsey,64343,2023-24
Edmond Sumner,40459,2023-24
Kaiser Gates,35389,2023-24
Stephen Curry,48070014,2022-23
John Wall,47345760,2022-23
Russell Westbrook,47080179,2022-23
LeBron James,44474988,2022-23
Kevin Durant,44119845,2022-23
Bradley Beal,43279250,2022-23
Kawhi Leonard,42492492,2022-23
Paul George,42492492,2022-23
Giannis Antetokounmpo,42492492,2022-23
Damian Lillard,42492492,2022-23
Klay Thompson,40600080,2022-23
Kyrie Irving,38917057,2022-23
Rudy Gobert,38172414,2022-23
Khris Middleton,37984276,2022-23
Anthony Davis,37980720,2022-23
Jimmy Butler,37653300,2022-23
Tobias Harris,37633050,2022-23
Kemba Walker,37281261,2022-23
Trae Young,37096500,2022-23
Zach LaVine,37096500,2022-23
Luka Doncic,37096500,2022-23
Ben Simmons,35448672,2022-23
Pascal Siakam,35448672,2022-23
Myles Turner,35096500,2022-23
Jrue Holiday,34319520,2022-23
Karl-Anthony Towns,33833400,2022-23
Devin Booker,33833400,2022-23
Kristaps Porzingis,33833400,2022-23
Andrew Wiggins,33616770,2022-23
Joel Embiid,33616770,2022-23
CJ McCollum,33333333,2022-23
Nikola Jokic,33047803,2022-23
James Harden,33000000,2022-23
Jamal Murray,31650600,2022-23
Brandon Ingram,31650600,2022-23
D'Angelo Russell,31377750,2022-23
Donovan Mitchell,30913750,2022-23
Michael Porter,30913750,2022-23
Shai Gilgeous-Alexander,30913750,2022-23
Deandre Ayton,30913750,2022-23
Kevin Love,30556968,2022-23
Jayson Tatum,30351780,2022-23
Bam Adebayo,30351780,2022-23
De'Aaron Fox,30351780,2022-23
Gordon Hayward,30075000,2022-23
Jaylen Brown,29776785,2022-23
Jaren Jackson Jr,28946605,2022-23
Chris Paul,28400000,2022-23
Kyle Lowry,28333334,2022-23
Jalen Brunson,27733332,2022-23
DeMar DeRozan,27300000,2022-23
Al Horford,26500000,2022-23
Draymond Green,25806468,2022-23
Julius Randle,23760000,2022-23
John Collins,23500000,2022-23
Mike Conley,22680000,2022-23
Malcolm Brogdon,22600000,2022-23
Anfernee Simons,22321429,2022-23
Nikola Vucevic,22000000,2022-23
Terry Rozier,21486316,2022-23
Fred VanVleet,21250000,2022-23
Buddy Hield,21177750,2022-23
Domantas Sabonis,21100000,2022-23
Jerami Grant,20955000,2022-23
Aaron Gordon,20690909,2022-23
Mikal Bridges,20100000,2022-23
Jarrett Allen,20000000,2022-23
Nicolas Batum,19700319,2022-23
Tim Hardaway Jr,19602273,2022-23
Eric Gordon,19568360,2022-23
Bojan Bogdanovic,19550000,2022-23
Lonzo Ball,19534884,2022-23
Spencer Dinwiddie,19500000,2022-23
Danilo Gallinari,19479000,2022-23
Caris LeVert,18796296,2022-23
Joe Harris,18642857,2022-23
Harrison Barnes,18352273,2022-23
Clint Capela,18206896,2022-23
Bogdan Bogdanovic,18000000,2022-23
Evan Fournier,18000000,2022-23
Steven Adams,17926829,2022-23
Jonathan Isaac,17400000,2022-23
OG Anunoby,17357143,2022-23
Gary Trent Jr,17280000,2022-23
Marcus Smart,17207142,2022-23
Derrick White,17142857,2022-23
Dejounte Murray,17071120,2022-23
Mitchell Robinson,17045454,2022-23
Duncan Robinson,16902000,2022-23
Norman Powell,16758621,2022-23
Collin Sexton,16700000,2022-23
Markelle Fultz,16500000,2022-23
Lauri Markkanen,16475454,2022-23
Marcus Morris,16372093,2022-23
Davis Bertans,16000000,2022-23
Jusuf Nurkic,15625000,2022-23
Malik Beasley,15558035,2022-23
Luguentz Dort,15277778,2022-23
Will Barton,15059712,2022-23
Tyus Jones,15000000,2022-23
Jonas Valanciunas,14700000,2022-23
Derrick Rose,14520730,2022-23
Kevin Huerter,14508929,2022-23
Christian Wood,14317459,2022-23
Wendell Carter,14150000,2022-23
Kentavious Caldwell-Pope,14004703,2022-23
Brook Lopez,13906976,2022-23
Patrick Beverley,13801614,2022-23
Doug McDermott,13750000,2022-23
Luke Kennard,13745455,2022-23
Zion Williamson,13534817,2022-23
Jordan Clarkson,13340000,2022-23
Gary Harris,13000000,2022-23
Kyle Kuzma,13000000,2022-23
Josh Hart,12960000,2022-23
Dorian Finney-Smith,12939848,2022-23
Kelly Olynyk,12804878,2022-23
Chris Boucher,12690000,2022-23
Kelly Oubre,12600000,2022-23
Marvin Bagley,12500000,2022-23
Robert Covington,12307692,2022-23
Josh Richardson,12196094,2022-23
Ja Morant,12119440,2022-23
Danny Green,11710528,2022-23
Devonte Graham,11550000,2022-23
Terrence Ross,11500000,2022-23
Reggie Jackson,11457217,2022-23
Dillon Brooks,11400000,2022-23
Richaun Holmes,11215260,2022-23
Dwight Powell,11080125,2022-23
Paolo Banchero,11055120,2022-23
RJ Barrett,10900634,2022-23
Bobby Portis,10843350,2022-23
DeAndre Jordan,10733758,2022-23
Anthony Edwards,10733400,2022-23
Robert Williams,10714287,2022-23
Cade Cunningham,10552800,2022-23
PJ Tucker,10490000,2022-23
Derrick Favors,10350803,2022-23
Mo Bamba,10300000,2022-23
Talen Horton-Tucker,10260000,2022-23
Jae Crowder,10183800,2022-23
Ivica Zubac,10123457,2022-23
Reggie Bullock,10012800,2022-23
Alec Burks,10012800,2022-23
Chet Holmgren,9891240,2022-23
De'Andre Hunter,9835881,2022-23
Larry Nance Jr,9672727,2022-23
James Wiseman,9603360,2022-23
Landry Shamet,9500000,2022-23
Malik Monk,9472219,2022-23
Jalen Green,9441840,2022-23
Jakob Poeltl,9398148,2022-23
Nerlens Noel,9391069,2022-23
Nicolas Claxton,9350000,2022-23
Dario Saric,9240000,2022-23
Royce O'Neale,9200000,2022-23
Monte Morris,9125000,2022-23
Mason Plumlee,9080417,2022-23
Alex Caruso,9030000,2022-23
Maxi Kleber,9000000,2022-23
Grayson Allen,8925000,2022-23
Darius Garland,8920794,2022-23
Jabari Smith,8882640,2022-23
Isaiah Hartenstein,8854879,2022-23
Kyle Anderson,8780488,2022-23
Victor Oladipo,8750000,2022-23
Daniel Theis,8694369,2022-23
LaMelo Ball,8623920,2022-23
Seth Curry,8496653,2022-23
Evan Mobley,8478720,2022-23
Gary Payton II,8300000,2022-23
Dewayne Dedmon,8283688,2022-23
De'Anthony Melton,8250000,2022-23
JaMychal Green,8200000,2022-23
TJ McConnell,8100000,2022-23
Keegan Murray,8008440,2022-23
Kevon Looney,8000000,2022-23
Thaddeus Young,8000000,2022-23
Delon Wright,7804878,2022-23
Patrick Williams,7775400,2022-23
Scottie Barnes,7644600,2022-23
Cedi Osman,7426088,2022-23
Coby White,7413955,2022-23
Zach Collins,7350000,2022-23
Jaden Ivey,7252200,2022-23
Taurean Prince,7100000,2022-23
